swc_id,owasp_id,check
SWC-100,SC01:2025,1
SWC-105,SC01:2025,1
SWC-106,SC01:2025,1
SWC-108,SC01:2025,1
SWC-115,SC01:2025,1
SWC-124,SC01:2025,1
SWC-136,SC03:2025,1
SWC-121,SC01:2025,1
SWC-112,SC01:2025,1
SWC-117,SC01:2025,1
SWC-109,SC03:2025,1
SWC-114,SC03:2025,1
SWC-119,SC03:2025,1
SWC-123,SC03:2025,1
SWC-129,SC03:2025,1
SWC-133,SC03:2025,1
SWC-134,SC03:2025,1
SWC-116,SC04:2025,1
SWC-130,SC04:2025,1
SWC-107,SC05:2025,1
SWC-104,SC06:2025,1
SWC-101,SC08:2025,1
SWC-120,SC09:2025,1
SWC-132,SC03:2025,1
SWC-113,SC10:2025,1
SWC-126,SC10:2025,1
SWC-128,SC10:2025,1
SWC-127,,x
SWC-110,SC03:2025,1
SWC-125,SC03:2025,1
SWC-102,,x
SWC-103,,x
SWC-111,,x
SWC-118,,x
SWC-122,SC03:2025,1
SWC-131,,x
SWC-135,,x
